PERMNO,date,TICKER,COMNAM,CFACPR
93002,2021-06-17,AVGO,BROADCOM INC,10
93002,2021-06-18,AVGO,BROADCOM INC,10
93002,2021-06-21,AVGO,BROADCOM INC,10
93002,2021-06-22,AVGO,BROADCOM INC,10
93002,2021-06-23,AVGO,BROADCOM INC,10
93002,2021-06-24,AVGO,BROADCOM INC,10
93002,2021-06-25,AVGO,BROADCOM INC,10
93002,2021-06-28,AVGO,BROADCOM INC,10
93002,2021-06-29,AVGO,BROADCOM INC,10
93002,2021-06-30,AVGO,BROADCOM INC,10
93002,2021-07-01,AVGO,BROADCOM INC,10
93002,2021-07-02,AVGO,BROADCOM INC,10
93002,2021-07-06,AVGO,BROADCOM INC,10
93002,2021-07-07,AVGO,BROADCOM INC,10
93002,2021-07-08,AVGO,BROADCOM INC,10
93002,2021-07-09,AVGO,BROADCOM INC,10
93002,2021-07-12,AVGO,BROADCOM INC,10
93002,2021-07-13,AVGO,BROADCOM INC,10
93002,2021-07-14,AVGO,BROADCOM INC,10
93002,2021-07-15,AVGO,BROADCOM INC,10
93002,2021-07-16,AVGO,BROADCOM INC,10
93002,2021-07-19,AVGO,BROADCOM INC,10
93002,2021-07-20,AVGO,BROADCOM INC,10
93002,2021-07-21,AVGO,BROADCOM INC,10
93002,2021-07-22,AVGO,BROADCOM INC,10
93002,2021-07-23,AVGO,BROADCOM INC,10
93002,2021-07-26,AVGO,BROADCOM INC,10
93002,2021-07-27,AVGO,BROADCOM INC,10
93002,2021-07-28,AVGO,BROADCOM INC,10
93002,2021-07-29,AVGO,BROADCOM INC,10
93002,2021-07-30,AVGO,BROADCOM INC,10
93002,2021-08-02,AVGO,BROADCOM INC,10
93002,2021-08-03,AVGO,BROADCOM INC,10
93002,2021-08-04,AVGO,BROADCOM INC,10
93002,2021-08-05,AVGO,BROADCOM INC,10
93002,2021-08-06,AVGO,BROADCOM INC,10
93002,2021-08-09,AVGO,BROADCOM INC,10
93002,2021-08-10,AVGO,BROADCOM INC,10
93002,2021-08-11,AVGO,BROADCOM INC,10
93002,2021-08-12,AVGO,BROADCOM INC,10
93002,2021-08-13,AVGO,BROADCOM INC,10
93002,2021-08-16,AVGO,BROADCOM INC,10
93002,2021-08-17,AVGO,BROADCOM INC,10
93002,2021-08-18,AVGO,BROADCOM INC,10
